Iteration,Time (ns)
1, 575479300
2, 482799200
3, 482322600
4, 440823000
5, 439153500
6, 453609400
7, 481587000
8, 514488800
9, 551768300
10, 467573800
11, 606103900
12, 521455800
13, 501599200
14, 562359100
15, 478826700
16, 448606200
17, 511080700
18, 511585000
19, 469301200
20, 494743100
21, 574373400
22, 499012000
23, 494080000
24, 498748600
25, 477185200
26, 568121100
27, 500801900
28, 519820400
29, 471608100
30, 489230400
31, 471461300
32, 521662800
33, 489894900
34, 464344100
35, 452457100
36, 549884400
37, 735780500
38, 449504300
39, 485973300
40, 728136600
41, 534965100
42, 567561100
43, 712884700
44, 613092600
45, 579384800
46, 714164400
47, 746048100
48, 572188000
49, 537041600
50, 533851000
51, 598219600
52, 578895400
53, 583756900
54, 487758000
55, 532416900
56, 565387100
57, 582384600
58, 556763500
59, 532192100
60, 534880400
61, 576087000
62, 536636500
63, 608760200
64, 653313900
65, 529546200
66, 539265700
67, 731391300
68, 557907400
69, 506562200
70, 551103400
71, 700896900
72, 516937600
73, 556651500
74, 519588900
75, 531946400
76, 583741100
77, 521142100
78, 424338500
79, 563012400
80, 575333800
81, 772721600
82, 588516300
83, 506095100
84, 579987800
85, 647985700
86, 668600500
87, 660486600
88, 515836100
89, 560040200
90, 478116500
91, 555790300
92, 503314500
93, 526435900
94, 482998100
95, 516516700
96, 456428800
97, 533045200
98, 530376000
99, 480937100
100, 500519100
101, 460800300
102, 454619900
103, 568619400
104, 546548000
105, 493199900
106, 461670200
107, 515297700
108, 508789400
109, 531552100
110, 500765100
111, 606764800
112, 527582900
113, 605790800
114, 455507600
115, 478760100
116, 485435500
117, 486260300
118, 489540200
119, 551670900
120, 602657100
121, 497981700
122, 571030800
123, 623391500
124, 457650700
125, 521911300
126, 467985600
127, 535709500
128, 576087300
129, 479014900
130, 454517600
131, 456209900
132, 450884300
133, 468067200
134, 513506100
135, 608634600
136, 612081100
137, 595407300
138, 532804000
139, 694746400
140, 552343600
141, 541194200
142, 574892600
143, 480990900
144, 438390600
145, 463373000
146, 579001700
147, 536758400
148, 528493300
149, 575848900
150, 534930100
151, 516383600
152, 572462000
153, 459966200
154, 532263400
155, 577289600
156, 548584100
157, 478086500
158, 476588600
159, 510092400
160, 551059700
161, 494706000
162, 565109200
163, 608342700
164, 463152000
165, 500776000
166, 504087800
167, 510282800
168, 478571800
169, 530301100
170, 465348500
171, 548021200
172, 663599100
173, 657175600
174, 502292300
175, 550685300
176, 632915200
177, 560952700
178, 522453800
179, 456801500
180, 514775500
181, 565159700
182, 501877500
183, 557478400
184, 489943400
185, 448258300
186, 491330900
187, 499981700
188, 561461300
189, 540924100
190, 596447400
191, 532035200
192, 467728100
193, 692629200
194, 498647700
195, 541326600
196, 594147000
197, 448213700
198, 508998300
199, 468783300
200, 472027200
201, 501219500
202, 621218900
203, 612712800
204, 724593200
205, 528410900
206, 491301400
207, 484289500
208, 528405200
209, 523421300
210, 567008600
211, 578030700
212, 517707700
213, 449286900
214, 549535400
215, 495017100
216, 525549800
217, 542881800
218, 486385800
219, 614644800
220, 527758400
221, 469027400
222, 549737300
223, 573315700
224, 475196200
225, 555560800
226, 609557700
227, 509217500
228, 461273500
229, 543358000
230, 521672000
231, 511542400
232, 502609900
233, 510374700
234, 532012300
235, 512489600
236, 506862700
237, 519355100
238, 460017800
239, 526450500
240, 523672800
241, 524581200
242, 520033000
243, 519230300
244, 481131100
245, 499723300
246, 538606000
247, 532126000
248, 561903300
249, 557318600
250, 573244900
251, 556104700
252, 944952700
253, 710976300
254, 632332000
255, 616366500
256, 487811400
257, 466099700
258, 480350500
259, 484409500
260, 531602100
261, 498603700
262, 457628100
263, 460684600
264, 512847100
265, 464108700
266, 450758000
267, 547486700
268, 456325200
269, 495643000
270, 457261900
271, 475901800
272, 509772200
273, 503584400
274, 530298700
275, 509728800
276, 548240900
277, 593102500
278, 585397200
279, 523037400
280, 508664400
281, 475811100
282, 636682200
283, 532301100
284, 475448200
285, 501519300
286, 497928300
287, 543051200
288, 483452400
289, 540392900
290, 512102400
291, 519127500
292, 617029500
293, 582085800
294, 518894500
295, 473080600
296, 487942800
297, 474403200
298, 522140300
299, 478587300
300, 486444900
301, 558426000
302, 457894400
303, 477750600
304, 480285300
305, 507150500
306, 601833200
307, 598561000
308, 459917400
309, 609197200
310, 495554800
311, 449985200
312, 440799400
313, 519057000
314, 555512900
315, 570887700
316, 545067300
317, 559556700
318, 717858100
319, 614009400
320, 525187800
321, 520590500
322, 542712800
323, 539568600
324, 502503000
325, 715245300
326, 511733100
327, 608144100
328, 537190900
329, 549208200
330, 570582500
331, 521363000
332, 592086800
333, 509748300
334, 520991200
335, 547030000
336, 548746100
337, 529306200
338, 577676100
339, 561053600
340, 503534500
341, 540072000
342, 481393600
343, 439996300
344, 518652200
345, 503563800
346, 515729400
347, 558151400
348, 543063100
349, 506967000
350, 460698900
351, 492593800
352, 493442300
353, 464475700
354, 519233600
355, 491677400
356, 578883400
357, 580435400
358, 514203700
359, 466689600
360, 608849400
361, 512278800
362, 556330000
363, 582289300
364, 565583800
365, 485156000
366, 483447300
367, 450663200
368, 500032600
369, 506186300
370, 552853500
371, 571804300
372, 551759000
373, 516982100
374, 455996800
375, 460932500
376, 496657900
377, 444285500
378, 520995600
379, 488856700
380, 527807700
381, 517485400
382, 625412300
383, 454469300
384, 499809800
385, 542821300
386, 514735000
387, 554618600
388, 537151500
389, 522312700
390, 642230600
391, 637971100
392, 523337400
393, 698910900
394, 510060300
395, 456900500
396, 523393400
397, 462303300
398, 555055400
399, 479964400
400, 526711100
401, 523870700
402, 518340200
403, 525017300
404, 485780300
405, 541859200
406, 535524600
407, 504834700
408, 593017900
409, 527196500
410, 667071600
411, 513021000
412, 524214300
413, 488471500
414, 484820700
415, 536863100
416, 544996200
417, 535214800
418, 509206600
419, 514186900
420, 586103400
421, 480583000
422, 490600400
423, 555768900
424, 475074200
425, 534509800
426, 561798100
427, 528554200
428, 476359300
429, 458879100
430, 560642900
431, 540285100
432, 451451300
433, 484082100
434, 446969500
435, 522484800
436, 503892400
437, 513928200
