Iteration,Time (ns)
1,20999500
2,20084701
3,18007701
4,21156399
5,17645299
6,19834199
7,20117400
8,20949900
9,24101001
10,19008301
11,21830799
12,16940100
13,18619000
14,19610100
15,32406200
16,26948200
17,17547899
18,18306300
19,19200000
20,19591400
21,23425500
22,17565800
23,18448100
24,25718800
25,23794099
26,27759099
27,28329600
28,20618700
29,22455800
30,23508801
31,24095100
32,22560500
33,20569201
34,23926700
35,25682800
36,26499701
37,23760099
38,18416400
39,18956400
40,18759300
41,17803000
42,17714800
43,16684600
44,19951800
45,17900701
46,16268900
47,19318600
48,20192000
49,22040900
50,21793299
51,20456501
52,24018200
53,18989900
54,20948800
55,23325999
56,18856199
57,17484900
58,21064000
59,17531699
60,16211800
61,17768300
62,16274500
63,17010000
64,19009300
65,16545200
66,16244101
67,18915600
68,16153000
69,16099600
70,17173100
71,16508400
72,17850500
73,14821900
74,22801800
75,21360900
76,22760500
77,22966400
78,17458900
79,19839699
80,22007500
81,27221299
82,17712501
83,16137600
84,19665500
85,16887200
86,17312000
87,17341300
88,18248201
89,18079600
90,19746901
91,20133900
92,18761100
93,20552700
94,14436701
95,13509400
96,15733600
97,18267799
98,13798799
99,16886200
100,19553200
101,16909399
102,14481400
103,14274199
104,15053900
105,17781100
106,17734000
107,17394499
108,14439600
109,12732899
110,13201900
111,21244001
112,17645099
113,17489700
114,16598901
115,16268400
116,14964801
117,17699800
118,22094700
119,12642700
120,13511501
121,14337000
122,13051300
123,12379301
124,11942799
125,12035700
126,12493400
127,14467000
128,14286101
129,13825800
130,12128899
131,11959401
132,12709100
133,12074700
134,13688800
135,16375700
136,17052600
137,15106200
138,12275300
139,15705500
140,16636100
141,17038101
142,18027200
143,19280400
144,18981100
145,14568599
146,14967801
147,17556901
148,18776700
149,18846799
150,20676700
151,20116899
152,12940400
153,11754100
154,12171401
155,12175300
156,13383800
157,15057501
158,11869200
159,16363100
160,12159600
161,16808700
162,17523000
163,16174400
164,15618400
165,16737900
166,16364299
167,17791700
168,18631300
169,17876700
170,18469100
171,17739600
172,19039701
173,15788500
174,15909901
175,15556700
176,14952399
177,17670500
178,18992800
179,15976399
180,18318999
181,21042600
182,16664001
183,25444000
184,22226800
185,24931701
186,27903401
187,21117200
188,17919500
189,20165700
190,19339200
191,15607899
192,16384200
193,15606800
194,16312300
195,17802900
196,18810501
197,19133801
198,14422900
199,14018999
200,13647800
201,13591600
202,13188300
203,13626500
204,13787500
205,13651900
206,13204600
207,15737199
208,18742100
209,18071200
210,14441000
211,17371799
212,14733101
213,16037000
214,14176000
215,15562000
216,16663300
217,17285100
218,17238801
219,17246800
220,15496900
221,11900400
222,14731699
223,16126800
224,13124200
225,11636100
226,12098500
227,16314300
228,11776300
229,11499000
230,11124000
231,11080601
232,11136900
233,13683301
234,15759600
235,11017600
236,11287199
237,11231900
238,11964500
239,11605201
240,11252900
241,22513199
242,16623200
243,15505300
244,18146901
245,13880999
246,11357600
247,11666900
248,15218301
249,15137000
250,11355300
251,11509100
252,12151900
253,13676499
254,14612700
255,11047201
256,11465801
257,12553700
258,16411900
259,14809801
260,14297399
261,10578500
262,10987300
263,11876400
264,14594100
265,14614201
266,14435500
267,10406501
268,10185700
269,10014300
270,10201900
271,10214100
272,10062800
273,9979000
274,10353299
275,9935900
276,10175600
277,10429000
278,10102099
279,11733700
280,12077700
281,10123500
282,10311899
283,12392701
284,12495100
285,9993900
286,15838100
287,14600700
288,10199000
289,10365700
290,10109801
291,12945200
292,13298300
293,10398700
294,10109900
295,10185399
296,10515799
297,10123000
298,10313600
299,10126400
300,9936700
301,10364901
302,10195499
303,10021200
304,10119300
305,10037801
306,10318400
307,10103500
308,10086200
309,10298200
310,10095700
311,10078200
312,10295400
313,10066700
314,10260201
315,10891899
316,10238100
317,10297599
318,10474400
319,10479299
320,10645600
321,10464500
322,10485600
323,10205000
324,10448499
325,10125101
326,10131400
327,10080700
328,10310399
329,10134600
330,10296500
331,10482901
332,11696000
333,12337700
334,16259200
335,15416000
336,16119500
337,11170700
338,10798300
339,10663100
340,12918100
341,13464600
342,10722100
343,10872101
344,10950600
345,10848800
346,10508201
347,10900400
348,11665700
349,12967499
350,12084201
351,12885900
352,10436100
353,10949800
354,10512101
355,14786700
356,11462499
357,10737199
358,10399701
359,10820600
360,11023000
361,10155799
362,20625601
363,13315799
364,10173300
365,12632300
366,11383101
367,11369599
368,10183200
369,10123000
370,10078201
371,10490400
372,10478100
373,10413000
374,10879200
375,10404999
376,12211000
377,10089000
378,10247400
379,11283700
380,15028600
381,10598100
382,10794900
383,10461400
384,10105400
385,12744400
386,10621401
387,10063901
388,10177399
389,10285300
390,10099800
391,10796800
392,10454500
393,10292800
394,10549200
395,9934101
396,10121600
397,12805100
398,10764401
399,10332799
400,14330500
401,14658400
402,12459100
403,14673400
404,20103600
405,16739001
406,13378700
407,13876701
408,14004700
409,13090700
410,15400100
411,15667100
412,16045801
413,13088900
414,10602400
415,10701699
416,11644900
417,13067000
418,10537600
419,11503900
420,10828399
421,10795099
422,11134200
423,10639200
424,10592600
425,10684299
426,11036800
427,10792600
428,10729100
429,10675601
430,11157800
431,16548701
432,16377599
433,12532700
434,10667101
435,10410700
436,10239200
437,10915301
438,12241600
439,12452400
440,14056200
441,11054300
442,16610500
443,17266899
444,14271100
445,10906300
446,12978800
447,11426501
448,11043000
449,11728599
450,11329199
451,10582799
452,10297199
453,10531200
454,11635799
455,16507400
456,10644300
457,16204499
458,11270299
459,10646000
460,10191600
461,10339101
462,10532099
463,10257000
464,10489000
465,13518700
466,17496000
467,11177300
468,10261300
469,10433100
470,10729101
471,9987600
472,10534700
473,10757400
474,10477601
475,10519600
476,14189501
477,11106100
478,10374800
479,10968900
480,10955400
481,10297601
482,10342000
483,10546500
484,10511000
485,13020601
486,10649199
487,10605800
488,10261300
489,10663999
490,11284199
491,10518799
492,10337201
493,10404800
494,9891300
495,11882200
496,10631900
497,10456900
498,10711701
499,10551201
500,10206701
501,10364601
502,13478400
503,12367600
504,13593200
505,10689399
506,10787500
507,10738100
508,10416899
509,10905200
510,10507199
511,9855800
512,9887500
513,9896500
514,9704500
515,9784800
516,9800200
517,9494901
518,10330100
519,9579001
520,9515399
521,9748000
522,9629400
523,9978899
524,9242100
525,9327100
526,9726300
527,9252699
528,12599701
529,9746500
530,9266499
531,9640101
532,9172000
533,9304100
534,10134000
535,9318600
536,12022100
537,12446501
538,10547200
539,8705201
540,8931400
541,8813301
542,10730200
543,8876000
544,9288099
545,9781699
546,8738299
547,13051300
548,14692400
549,10430000
550,8380400
551,13842599
552,15711700
553,9777400
554,8266400
555,8257100
556,7962400
557,8445901
558,8063501
559,8342399
560,8179299
561,9268800
562,8161099
563,8192500
564,8306800
565,8299300
566,8261100
567,8174899
568,8379400
569,8239301
570,8225199
571,8241500
572,8792800
573,8129200
574,11136500
575,8337000
576,8179400
577,8095000
578,8061900
579,8422400
580,8152501
581,8193100
582,8172300
583,8166300
584,8166400
585,8096200
586,8146400
587,8297801
588,8168700
589,8314100
590,8323799
591,8140501
592,8299301
593,8123701
594,8480000
595,8045401
596,8924900
597,8712100
598,8238600
599,7790100
600,13897499
