"medelvärden","nedre","övre"
8583600.35714286,8432784.24447452,8734416.46981119
8751972.5,8594659.50760134,8909285.49239866
8344191.78571429,8219307.42353422,8469076.14789435
8426160.89285714,8292474.086492,8559847.69922229
8457435.89285714,8329170.05632159,8585701.7293927
8350555.17857143,8238073.56564457,8463036.79149828
8503277.14285714,8376006.14186926,8630548.14384503
8782116.96428571,8622554.48538365,8941679.44318778
8393828.75,8281088.2135636,8506569.2864364
8618417.67857143,8487047.27994788,8749788.07719498
