Iteration,Time (ns)
1,9469800
2,8595800
3,8237400
4,8111100
5,8475100
6,8057600
7,13293800
8,11252700
9,9022100
10,12206200
11,8238600
12,7916600
13,8152700
14,7976200
15,8348600
16,8075000
17,8846900
18,8022600
19,8303500
20,7771400
21,8332200
22,8276400
23,8152100
24,8608200
25,7689700
26,8895200
27,10745200
28,14506100
29,9308100
30,7935000
31,12079000
32,11116100
33,10850000
34,17644700
35,11279000
36,7767700
37,8117700
38,8566800
39,8912000
40,7843700
41,9201700
42,12819100
43,10924400
44,8041300
45,7304400
46,8018100
47,7277500
48,8084100
49,7518600
50,7999800
51,7593600
52,8492900
53,7774600
54,8523800
55,7790300
56,9548000
57,15531800
58,17555600
59,13546200
60,8134700
61,7541200
62,8462100
63,8169700
64,7863600
65,7551800
66,8314600
67,8053200
68,8293300
69,8080800
70,8541600
71,8059500
72,8569900
73,8080000
74,8403500
75,8069500
76,8094500
77,9132700
78,7689900
79,7643000
80,8133700
81,8407700
82,7775600
83,15193000
84,15426900
85,9054200
86,7788300
87,8617400
88,8583200
89,9296400
90,8165600
91,8004800
92,7806000
93,8156400
94,7633900
95,8055000
96,7989400
97,8168100
98,8520000
99,10196400
100,10253900
101,8138300
102,9444400
103,8091000
104,8104900
105,7973800
106,8094400
107,8674600
108,9272500
109,7956400
110,7638000
111,8729000
112,7642200
113,8155000
114,7673400
115,8915000
116,7759200
117,8085400
118,7667400
119,8098500
120,7306700
121,7907200
122,7696000
123,8166600
124,7825200
125,8023600
126,7912200
127,8408200
128,8328700
129,8043200
130,8127800
131,7961400
132,8435200
133,7978300
134,8257800
135,7945800
136,8029600
137,8117300
138,8765200
139,8318000
140,8463100
141,8238800
142,8609800
143,8221600
144,8439200
145,8369200
146,11972500
147,12243200
148,13661500
149,11825800
150,11303200
151,16822200
152,8543600
153,7338600
154,8151800
155,7799200
156,8315200
157,8015900
158,11229800
159,10332200
160,10404100
161,8245900
162,7993800
163,7863200
164,8827000
165,8145300
166,8360500
167,8099300
168,8822000
169,7989700
170,8219800
171,8043600
172,8399100
173,8137300
174,8295000
175,8230600
176,7968000
177,8324300
178,8085000
179,8483900
180,7943700
181,8414300
182,7731500
183,8025300
184,7720100
185,8937100
186,8139800
187,15693000
188,11183100
189,8648100
190,10148200
191,12385500
192,9402600
193,7781600
194,8250800
195,7709300
196,7643600
197,7275200
198,7589300
199,7022900
200,7480900
201,7244100
202,7418100
203,7618500
204,7587700
205,9190900
206,7576700
207,7773300
208,8023500
209,7770900
210,8732500
211,7819200
212,7498200
213,7819600
214,9410700
215,9869800
216,11465500
217,7977700
218,10356900
219,7967900
220,7621400
221,7970800
222,7653300
223,11141800
224,11454600
225,8576600
226,7883900
227,7734300
228,8453100
229,8333900
230,7773700
231,9259100
232,7349300
233,7235900
234,7321400
235,7308500
236,7921000
237,7308300
238,9433800
239,7287400
240,8236100
241,7304600
242,7426900
243,7171600
244,7826000
245,7975900
246,8022400
247,7826800
248,8228700
249,8303000
250,7810300
251,7299400
252,9679200
253,7455200
254,7195100
255,8943600
256,8598000
257,13843400
258,9181400
259,10509600
260,13281500
261,15698400
262,8974800
263,7664500
264,8023000
265,7919700
266,9853700
267,7514000
268,10149400
269,8559600
270,8078900
271,8056200
272,8050900
273,7963200
274,7743200
275,8442200
276,7784200
277,8362700
278,8179200
279,8536000
280,7660900
281,8491600
282,8153500
283,8767500
284,7542700
285,9694100
286,8266700
287,7740500
288,10144200
289,8463800
290,10722600
291,8279800
292,8794100
293,10731700
294,7570100
295,12187100
296,14197400
297,8339600
298,7566600
299,7774700
300,7551500
301,8489100
302,8060400
303,7539100
304,7124600
305,7809200
306,7901100
307,8142500
308,7665600
309,8151000
310,7740600
311,8252400
312,7723500
313,7927900
314,7971500
315,8100600
316,7937500
317,8038000
318,7993000
319,8088800
320,8007000
321,8022600
322,7892800
323,8154000
324,8133200
325,8012400
326,7961100
327,8279500
328,8064900
329,8129000
330,8005600
331,11681100
332,8380900
333,8566300
334,8211300
335,7845500
336,8357700
337,8259600
338,9184300
339,7764100
340,9893800
341,12543800
342,7994900
343,7837800
344,7730000
345,8638400
346,7739900
347,7923100
348,7650500
349,8537000
350,7783200
351,8435100
352,7641500
353,7998900
354,7666700
355,7716300
356,7657400
357,8016400
358,7572700
359,7771400
360,7659000
361,8622100
362,7509200
363,8229200
364,7799400
365,8076900
366,7663400
367,7806900
368,7484800
369,8078300
370,7516000
371,7818700
372,7587100
373,8095800
374,7785600
375,8060800
376,7604500
377,9120800
378,8393200
379,9022200
380,8230100
381,8043100
382,13433500
383,9245100
384,8118900
385,13544600
386,9461300
387,7275700
388,7324000
389,7085400
390,7874300
391,7610800
392,7775900
393,8165900
394,8776600
395,7919900
396,8193900
397,8483900
398,7880100
399,10982200
400,11927500
401,10492600
402,7309100
403,8857500
404,11544100
405,16824700
406,11828000
407,7770700
408,7756500
409,7355600
410,7715900
411,7353300
412,7839000
413,7702900
414,8186000
415,7690400
416,7729900
417,7706700
418,7985400
419,7516300
420,7796900
421,7860400
422,8129800
423,7980400
424,8282400
425,8152800
426,8125100
427,9496600
428,11126300
429,11983600
430,16057200
431,11010200
432,7869000
433,7636100
434,7738500
435,8111300
436,9102800
437,7383900
438,9018700
439,9432400
440,7971900
441,9223500
442,9630000
443,12238900
444,12539300
445,11769600
446,7562100
447,10289500
448,7731500
449,11805500
450,10758000
451,7953200
452,8419900
453,7917300
454,8994500
455,8753200
456,8049100
457,9204000
458,8173300
