"medelvärden","nedre","övre"
491194.6,461195.765686876,521193.434313124
530501,489957.704622117,571044.295377883
504596,471292.380067008,537899.619932992
558760.8,513390.115468684,604131.484531317
513058,478781.352268163,547334.647731837
489512.4,458040.130454944,520984.669545056
488187.6,458698.87404592,517676.32595408
599916,511067.502376498,688764.497623502
527648.6,496136.912441946,559160.287558054
498132.4,464013.709392949,532251.090607051
559543.4,521520.448471016,597566.351528984
500801.4,471152.915257199,530449.884742801
480967.2,451284.315106215,510650.084893785
563937.8,527877.972919999,599997.627080002
443192,415751.547366697,470632.452633303
460938.4,429879.607155665,491997.192844335
477018.8,445365.857245022,508671.742754978
521312.2,490898.132216696,551726.267783304
562040.4,528847.679386139,595233.120613861
529298.8,498505.984863495,560091.615136505
669721,627806.252039343,711635.747960657
568209.4,536488.151612782,599930.648387218
594460.4,555693.228845846,633227.571154154
486122.4,458792.005622804,513452.794377196
478348,445605.156912748,511090.843087252
556509.8,522331.134289279,590688.465710721
585965.4,541444.478068336,630486.321931664
492330,459728.589278089,524931.410721911
471840.6,446061.874627632,497619.325372368
476022,448147.106348467,503896.893651533
635065.6,592776.658568442,677354.541431558
468375.8,439618.806040892,497132.793959108
492130.8,459999.403407525,524262.196592475
531531.6,498126.354937612,564936.845062388
543943.4,511418.326465201,576468.473534799
532266.8,499722.243573598,564811.356426402
503922.2,470821.592183573,537022.807816427
488464.6,455362.844505932,521566.355494068
457481.4,428325.630008294,486637.169991706
502973.6,470478.314186864,535468.885813136
470974.4,440260.051640141,501688.748359859
600700.8,565975.343725888,635426.256274112
485072.2,457852.186053441,512292.213946559
520635.4,488336.387192277,552934.412807723
556567.6,523026.688640632,590108.511359368
517303.4,480378.082944198,554228.717055802
540844.8,498311.457313506,583378.142686494
479730,451482.659155319,507977.340844681
572363.2,542582.298435119,602144.101564881
484542.4,458418.447149593,510666.352850408
508290,470061.365708576,546518.634291424
508386,474278.602124289,542493.397875711
477707.4,444804.48758156,510610.31241844
530666.6,498316.195348335,563017.004651665
501902.2,470128.029000537,533676.370999463
585927.6,544423.766684758,627431.433315242
481294.4,449170.648125962,513418.151874038
456446.6,426794.0891622,486099.1108378
521641.6,485124.292940225,558158.907059775
734031.4,692631.783512363,775431.016487637
607181.6,570256.92673257,644106.27326743
524519.4,491198.382808102,557840.417191898
542853.4,508779.063137372,576927.736862628
536034,501334.310954448,570733.689045552
456258.4,430809.575173702,481707.224826298
517869.6,486339.419985704,549399.780014296
512005.6,477093.637993031,546917.562006969
566919,534705.676026649,599132.323973351
525360.4,490685.529058039,560035.270941961
458857.8,427839.595445876,489876.004554124
477669.8,445884.025904626,509455.574095374
483734.6,449187.261668811,518281.938331189
543685.6,507722.39661972,579648.80338028
514849.8,479589.916028688,550109.683971312
571953.4,539589.603907995,604317.196092005
524675.4,490848.474689385,558502.325310615
533654.6,500642.15507276,566667.04492724
501964.2,468239.411932561,535688.988067439
803000,762231.839003853,843768.160996147
820447.8,775229.370242275,865666.229757725
486856.6,459195.47220984,514517.72779016
592793,553750.609702295,631835.390297705
500358.4,458559.483984225,542157.316015775
562835.2,520409.535287557,605260.864712443
525710.8,491092.894717675,560328.705282325
507816,477730.410142168,537901.589857832
452446.6,423395.085608608,481498.114391392
482686.8,452207.072089344,513166.527910656
620821.2,579216.652598927,662425.747401073
511784,485290.272751266,538277.727248734
601192.2,559999.246583567,642385.153416433
575962.6,536107.923241065,615817.276758935
468760.4,437810.339130135,499710.460869865
485074.6,457635.18770794,512514.01229206
577418.2,539647.049989695,615189.350010305
465899.2,439759.172897505,492039.227102495
531206.2,496257.151897739,566155.248102261
576605.6,535127.693212769,618083.506787231
554872,517819.148874501,591924.851125499
553649,523199.502543004,584098.497456996
