"medelvärden","nedre","övre"
537417.857142857,503218.492244107,571617.222041608
527675.357142857,494310.419625423,561040.294660291
583427.321428571,542350.694702908,624503.948154235
529334.464285714,492155.811876406,566513.116695023
605849.642857143,562896.983006548,648802.302707738
551175.714285714,515854.2474899,586497.181081529
505326.25,471382.539566636,539269.960433364
589558.928571429,543783.420585167,635334.43655769
606333.035714286,566842.506170564,645823.565258007
576990.535714286,537203.707150048,616777.364278523
