Iteration,Time (ns)
1,17097400
2,3482100
3,3060600
4,3227600
5,3379400
6,2825900
7,2919300
8,2620300
9,2833200
10,2897800
11,3585000
12,3005900
13,2904500
14,2687400
15,3156200
16,3558300
17,2312700
18,1960400
19,2333100
20,2169300
21,3657900
22,2522500
23,2408700
24,2431100
25,2504300
26,2276300
27,1948300
28,1789500
29,1961400
30,6126000
31,1288600
32,956900
33,1062300
34,1142500
35,1250700
36,710700
37,693200
38,858000
39,662900
40,1005900
41,761400
42,791900
43,726000
44,743500
45,853500
46,714400
47,856500
48,720400
49,645700
50,616400
51,915500
52,1077700
53,991100
54,617700
55,593400
56,597300
57,595400
58,761500
59,663300
60,1120600
61,1053800
62,913100
63,877100
64,1313900
65,1343200
66,1345400
67,1981900
68,1793200
69,1703700
70,1789500
71,1786600
72,1740100
73,1666600
74,2034500
75,2011800
76,1463600
77,1126000
78,974100
79,1048400
80,896900
81,1052400
82,969800
83,955000
84,4152400
85,361700
86,335700
87,304400
88,297800
89,364400
90,302200
91,305100
92,272300
93,268800
94,299100
95,288000
96,302200
97,320800
98,316000
99,310900
100,334600
101,316000
102,307800
103,351800
104,277700
105,273200
106,307000
107,286100
108,284500
109,312100
110,279800
111,281100
112,275100
113,311700
114,375900
115,259600
116,316200
117,290100
118,322100
119,452900
120,568300
121,344700
122,270100
123,320600
124,282700
125,274900
126,265100
127,289600
128,470900
129,440800
130,406800
131,396400
132,516400
133,475500
134,407500
135,409300
136,386000
137,331700
138,353900
139,479800
140,478900
141,1114500
142,1147400
143,1002300
144,1002400
145,793000
146,1115300
147,1287700
148,1138500
149,1059500
150,1097600
151,962300
152,1068100
153,1083600
154,945100
155,905700
156,1056400
157,1086600
158,938000
159,1109700
160,900100
161,1351100
162,916900
163,916200
164,1159500
165,791900
166,1038800
167,1147600
168,896800
169,864000
170,798600
171,937400
172,900800
173,963700
174,788100
175,641800
176,626400
177,642700
178,679500
179,1102800
180,882900
181,1010700
182,746700
183,869400
184,642000
185,624100
186,632800
187,642900
188,5478900
189,642100
190,506400
191,584000
192,578400
193,491500
194,628000
195,863000
196,599400
197,642900
198,468200
199,626200
200,591700
201,375600
202,379400
203,481900
204,360500
205,435300
206,405700
207,366300
208,343900
209,413000
210,432600
211,473000
212,510500
213,555500
214,444300
215,401100
216,433500
217,425700
218,399200
219,511900
220,426800
221,336500
222,340200
223,289600
224,344900
225,517500
226,365000
227,361500
228,473200
229,663500
230,368300
231,769800
232,835300
233,738500
234,627900
235,356300
236,321500
237,311000
238,319500
239,308700
240,316100
241,305000
242,279000
243,274900
244,275900
245,278800
246,295600
247,621900
248,443000
249,284100
250,278100
251,281400
252,300900
253,275000
254,278700
255,278000
256,471200
257,620800
258,627200
259,536600
260,500400
261,288900
262,279100
263,325500
264,299600
265,291000
266,291600
267,369700
268,405800
269,963800
270,1081400
271,777000
272,643700
273,589600
274,534700
275,518900
276,491200
277,549400
278,517500
279,366500
280,362900
281,388100
282,404300
283,447300
284,362000
285,330800
286,317600
287,361600
288,370700
289,448200
290,334800
291,389200
292,3013700
293,535100
294,459300
295,622600
296,691700
297,772000
298,715000
299,646200
300,610800
301,631500
302,485700
303,621000
304,500700
305,369500
306,452400
307,391300
308,309500
309,372800
310,349800
311,331200
312,361800
313,353500
314,334400
315,346300
316,401900
317,459500
318,349400
319,384600
320,372200
321,336000
