"medelvärden","nedre","övre"
512816.428571429,477384.961545507,548247.89559735
736076.25,680665.320474681,791487.179525319
620104.642857143,579550.930732063,660658.354982223
703853.392857143,659832.370380199,747874.415334087
567471.25,529284.913213538,605657.586786462
541803.928571429,510625.47601148,572982.381131378
555455.892857143,518197.071002836,592714.71471145
635797.857142857,593638.175534447,677957.538751267
575637.678571429,534942.391478852,616332.965664005
523876.25,491076.844339552,556675.655660448
591802.321428571,553860.653817014,629743.989040129
739615.714285714,697068.89596781,782162.532603619
595448.571428571,557148.28717343,633748.855683713
520779.107142857,485028.792348731,556529.421936983
620023.035714286,575264.310958445,664781.760470126
667181.071428571,626706.068454417,707656.074402726
550640.357142857,515207.204942548,586073.509343166
497119.107142857,462007.280318356,532230.933967358
667205.892857143,623503.562211482,710908.223502803
725079.821428571,676961.420022959,773198.222834184
525673.035714286,491121.669585416,560224.401843155
650888.928571429,607586.649041197,694191.20810166
511973.392857143,482020.278012179,541926.507702106
532919.821428571,501286.18824131,564553.454615833
652044.107142857,605893.89208919,698194.322196524
556677.857142857,522123.516706219,591232.197579495
599689.464285714,550773.767187201,648605.161384228
574800.357142857,541012.417963746,608588.296321969
569300.357142857,521914.820162203,616685.894123511
504583.214285714,471736.443453164,537429.985118264
547361.428571429,510314.962932357,584407.8942105
517750.357142857,486007.847756346,549492.866529368
500738.928571429,466129.058799833,535348.798343024
588263.571428571,552825.22358846,623701.919268683
535788.75,499504.171962547,572073.328037453
554699.821428571,520680.786249483,588718.85660766
463697.5,432597.152318016,494797.847681984
491721.964285714,460068.806392948,523375.12217848
572031.964285714,532062.118443878,612001.810127551
559635,526540.074588372,592729.925411628
680773.392857143,633652.915269502,727893.870444784
496034.642857143,465865.806611259,526203.479103027
500731.785714286,466081.501706204,535382.069722367
556953.392857143,517451.773963445,596455.011750841
590878.035714286,548785.196115194,632970.875313378
601970.535714286,565660.695501616,638280.375926956
570398.75,535252.132659766,605545.367340234
593514.464285714,554953.970262896,632074.958308532
519528.035714286,487000.459231718,552055.612196853
556104.285714286,520983.64632749,591224.925101082
619465.535714286,577912.272016791,661018.799411781
486281.428571429,453014.881182558,519547.975960299
538500.892857143,502085.045250497,574916.740463789
501706.785714286,467795.031567098,535618.539861474
541044.107142857,506788.93133433,575299.282951385
532645.535714286,495903.618686756,569387.452741815
522780.178571429,487735.002721905,557825.354420952
511399.642857143,477045.638586355,545753.64712793
514658.214285714,482334.353520148,546982.07505128
497208.035714286,464177.048429013,530239.022999558
484436.785714286,451789.834335232,517083.737093339
558436.964285714,521415.110790337,595458.817781091
507142.321428571,471513.002106758,542771.640750385
618805.535714286,576732.751902296,660878.319526276
570170.714285714,530167.404423795,610174.024147634
498484.464285714,467185.762439238,529783.16613219
562832.321428571,526161.17265412,599503.470203023
495103.035714286,464458.060180941,525748.01124763
565212.678571429,526919.63866079,603505.718482067
652691.071428571,603160.611207182,702221.531649961
544276.071428571,506095.849755107,582456.293102036
577960.892857143,535673.802790085,620247.982924201
553866.071428571,517242.609501683,590489.53335546
502559.642857143,469278.308852336,535840.97686195
529260.714285714,493998.128576152,564523.299995277
490942.142857143,457487.314092222,524396.971622063
537988.214285714,504137.899481307,571838.529090122
528820.357142857,497777.531842677,559863.182443037
505206.607142857,470275.997819455,540137.216466259
540543.035714286,501790.707452613,579295.363975959
567956.607142857,530516.040059342,605397.174226372
577101.071428571,538031.673533445,616170.469323698
510667.857142857,477758.196892483,543577.517393231
521582.5,485249.080711221,557915.919288779
502845.714285714,468858.14245601,536833.286115418
549601.785714286,512206.994614022,586996.57681455
606555,555301.861820005,657808.138179995
731904.285714286,686999.533355606,776809.038072965
497517.142857143,465601.351503368,529432.934210918
548108.75,510252.295583974,585965.204416026
524260.535714286,487106.077828469,561414.993600102
522842.678571429,487337.084892601,558348.272250256
494898.214285714,458393.811993526,531402.616577902
548846.607142857,473104.189479785,624589.024805929
534761.785714286,497995.328527514,571528.242901057
532896.071428571,498722.481937557,567069.660919586
575133.214285714,534177.032712175,616089.395859254
494167.5,463148.578833245,525186.421166755
561098.75,523424.415341163,598773.084658837
493101.607142857,458567.075607474,527636.138678241
