Iteration,Time (ns)
1,15442300
2,2386100
3,1529400
4,2573200
5,2145800
6,1288000
7,2000700
8,2011400
9,1822400
10,1838500
11,2105200
12,1268700
13,1751600
14,1347500
15,1311500
16,1276100
17,1263700
18,1147100
19,1177600
20,1005000
21,1129800
22,1052500
23,1318300
24,1960500
25,1989800
26,1642000
27,1576400
28,1594600
29,1754300
30,5606300
31,1701200
32,1235500
33,541400
34,611000
35,849000
36,531900
37,549000
38,523600
39,607400
40,707800
41,856500
42,956500
43,1033800
44,909700
45,948600
46,808300
47,1059600
48,1071200
49,1279400
50,1190900
51,1147100
52,1170200
53,1162800
54,1039100
55,634400
56,502900
57,456500
58,521800
59,520800
60,514600
61,558400
62,515700
63,523500
64,939100
65,1571400
66,1956800
67,1883300
68,1619200
69,1171400
70,1065300
71,1246300
72,1229000
73,936100
74,905400
75,1053600
76,873300
77,1440600
78,1691500
79,1370700
80,1286700
81,1423500
82,1326100
83,1395900
84,4129900
85,806500
86,908700
87,711900
88,566700
89,527400
90,654100
91,840100
92,601000
93,778700
94,953700
95,1012300
96,1094700
97,559600
98,502400
99,523400
100,512800
101,459000
102,566100
103,392000
104,372500
105,292800
106,348000
107,295200
108,275600
109,284100
110,277600
111,331000
112,282300
113,272500
114,280900
115,352900
116,326900
117,282100
118,298100
119,519700
120,565500
121,327400
122,267000
123,283900
124,264200
125,285100
126,264000
127,290900
128,287500
129,293800
130,330400
131,299600
132,300700
133,304000
134,262100
135,264700
136,327600
137,375800
138,262500
139,264200
140,315800
141,469800
142,612000
143,555400
144,561100
145,610300
146,695200
147,684600
148,605000
149,599400
150,586300
151,801600
152,923000
153,743000
154,695000
155,637800
156,682200
157,644000
158,612100
159,587000
160,576400
161,589000
162,556600
163,588600
164,716900
165,560300
166,645700
167,601900
168,552500
169,613000
170,591500
171,616400
172,600500
173,585900
174,688700
175,894200
176,733300
177,649400
178,660900
179,678900
180,657100
181,740900
182,941900
183,952100
184,922100
185,922900
186,1267800
187,925200
188,3413000
189,325900
190,275200
191,281100
192,286800
193,522600
194,388600
195,411500
196,280200
197,301800
198,264900
199,260600
200,262000
201,262800
202,283300
203,261600
204,287200
205,263600
206,260100
207,263300
208,278800
209,259200
210,263400
211,279000
212,259900
213,286100
214,263600
215,269600
216,264400
217,265600
218,268200
219,268800
220,268200
221,271200
222,263500
223,263000
224,458900
225,474000
226,418000
227,283400
228,270500
229,265300
230,262700
231,262600
232,263200
233,263200
234,259900
235,265200
236,264500
237,261200
238,265500
239,263000
240,264600
241,331500
242,283200
243,279900
244,258000
245,264500
246,462700
247,943200
248,492100
249,284000
250,278800
251,314400
252,283900
253,280700
254,314500
255,275800
256,284700
257,463000
258,482300
259,330700
260,293100
261,289800
262,322400
263,268000
264,266200
265,281500
266,264600
267,268100
268,267700
269,308700
270,263800
271,269900
272,296800
273,316300
274,515400
275,588600
276,272200
277,263600
278,262400
279,267800
280,295600
281,264000
282,267500
283,266600
284,280400
285,266200
286,264300
287,263300
288,263000
289,407300
290,308100
291,514900
292,3223900
293,300200
294,286500
295,283900
296,308800
297,264900
298,271600
299,268200
300,282700
301,269400
302,290800
303,261700
304,266300
305,261600
306,260600
307,286500
308,263200
309,263600
310,275000
311,262700
312,263200
313,260600
314,281100
315,263700
316,261300
317,281800
318,340400
319,448100
320,382500
321,262600
322,261600
323,278600
324,262400
325,259100
326,265600
327,278700
328,260500
329,271500
330,294100
331,263200
332,260500
333,263400
334,288300
335,634700
336,363300
337,303400
338,309100
339,296100
340,324300
341,285600
342,317800
343,286500
344,298100
345,282600
346,318000
347,293800
348,279100
349,310100
350,303400
351,277900
352,282900
353,379900
354,271100
355,281500
356,289900
357,272000
358,283400
359,290100
360,276300
361,278500
362,279900
363,289800
364,277200
365,275300
366,292400
367,283800
368,277800
369,292000
370,275300
371,275100
372,421700
373,342500
374,278900
375,299200
376,290200
377,277300
378,288800
379,302100
380,279100
381,289500
382,272700
383,275600
384,681600
385,560000
386,556900
387,518900
388,296300
389,289100
390,301800
391,275700
392,297300
393,285200
394,278100
395,276500
396,3777300
397,603800
398,620900
399,626700
400,631500
401,632400
402,611900
403,894400
404,717200
405,629700
406,631400
407,813900
408,925000
409,933700
410,906400
411,898900
412,837000
413,946500
414,908600
415,932900
416,926400
417,938200
418,906300
419,964600
420,951200
421,1309200
422,1217100
423,1005700
424,1133600
425,953100
426,923700
427,973300
428,1009500
429,926300
430,942500
431,792800
432,597900
433,568200
434,622000
435,621300
436,567200
437,557000
438,619500
439,608500
440,632000
441,1072900
442,1296100
443,811200
444,558000
445,567300
446,541100
447,583400
448,554200
449,574000
450,574100
451,528900
452,651500
453,580900
454,586500
455,566700
456,518800
457,606000
458,549300
459,570700
460,565500
461,525600
462,582300
463,532700
464,573800
465,552100
466,601500
467,412300
468,840900
469,342200
470,265700
471,340000
472,283200
473,246000
474,248400
475,247000
476,250300
477,248400
478,256500
479,255300
480,345900
481,248900
482,246100
483,252300
484,245600
485,246900
486,243500
487,273900
488,264100
489,245100
490,252700
491,244600
492,243500
493,245500
494,252400
495,248200
496,252000
497,250300
498,252300
499,248700
500,246900
501,243300
502,273600
503,334300
504,319200
505,326800
506,323500
507,323200
508,324300
509,318300
510,318800
511,324300
512,320200
513,338300
514,319200
515,323400
516,451900
517,279900
518,275500
519,414600
520,506800
521,503400
522,262100
523,332700
524,623300
525,424000
526,333200
527,339500
528,334300
529,321900
530,318200
531,488900
532,345900
533,330600
534,320900
535,318300
536,348800
537,323600
538,336700
539,353500
540,307000
541,304500
542,312800
543,3582400
544,342200
545,314600
546,309000
547,316300
548,308200
549,302700
550,304500
551,653400
552,464500
553,377200
554,439000
555,385300
556,285300
557,294600
558,363400
559,310500
560,257100
561,268800
562,256500
563,263500
564,253100
565,257200
566,262800
567,254600
568,254500
569,258800
570,347100
571,286500
572,274800
573,249500
574,236200
575,237100
576,237700
577,254400
578,237900
579,238000
580,235400
581,246300
582,243100
583,254900
584,241200
585,244100
586,243400
587,240000
588,238700
589,253700
590,238200
591,242200
592,242300
593,245500
594,244400
595,237100
596,235500
597,244400
598,239200
599,236000
600,239700
