"medelvärden","nedre","övre"
997995,891827.952670458,1104162.04732954
1088329.10714286,990250.30906755,1186407.90521816
933326.964285714,839404.737881824,1027249.1906896
726276.785714286,663869.327387509,788684.244041062
709007.321428571,642326.813791781,775687.829065362
818192.857142857,738130.569040245,898255.145245469
730475.357142857,656599.172238794,804351.54204692
805610.714285714,739878.610087885,871342.818483544
664889.285714286,608003.618061544,721774.953367027
737000.714285714,675741.758129122,798259.670442307
668263.035714286,607755.92261537,728770.148813202
779462.5,701663.30716483,857261.69283517
884888.392857143,776848.62395908,992928.161755206
1074436.60714286,968438.735779522,1180434.47850619
766285.892857143,687280.214083836,845291.57163045
913652.678571429,817823.906798369,1009481.45034449
541490.535714286,506573.447249249,576407.624179323
512187.321428571,478399.483735962,545975.159121181
541858.214285714,511923.988262089,571792.440309339
554377.678571429,522724.292272549,586031.064870308
577155.892857143,543621.043814402,610690.741899884
533701.071428571,501092.966092124,566309.176765019
500404.821428571,470325.236773638,530484.406083504
564850.714285714,504134.643372758,625566.78519867
645966.964285714,607334.129086298,684599.799485131
530640.892857143,495154.110640604,566127.675073681
543920.357142857,509471.915262055,578368.799023659
565406.428571429,528971.118324703,601841.738818154
589729.107142857,556157.143750939,623301.070534775
587609.464285714,551583.44916047,623635.479410959
568471.607142857,534547.07939479,602396.134890924
536897.5,504557.543188014,569237.456811986
627300.357142857,584073.524180169,670527.190105545
639557.142857143,599253.763530914,679860.522183372
526214.107142857,492012.003621424,560416.210664291
605046.428571429,569782.192659852,640310.664483005
573382.678571429,538072.376937375,608692.980205482
560885,524726.052202949,597043.947797051
597363.75,561482.988718434,633244.511281566
506296.071428571,473291.080324094,539301.062533049
673173.75,630975.867258634,715371.632741366
534945.535714286,499267.496998952,570623.57442962
537401.071428571,502025.077153277,572777.065703866
531763.75,497275.546002184,566251.953997816
506724.464285714,473060.272319167,540388.656252262
569954.642857143,538445.458805029,601463.826909256
587451.785714286,545775.450070773,629128.121357798
529572.857142857,498318.654469356,560827.059816359
597813.392857143,563067.90215989,632558.883554396
576106.607142857,537701.386379072,614511.827906643
676046.607142857,607703.665487463,744389.548798251
706481.964285714,667973.169072409,744990.759499019
623651.785714286,585578.940641525,661724.630787047
609987.857142857,570583.707709224,649392.00657649
576964.107142857,543926.847033584,610001.36725213
569284.642857143,533234.340715894,605334.944998392
574596.607142857,539285.656515682,609907.557770032
532804.107142857,499150.351180633,566457.863105081
546952.321428571,514489.235529679,579415.407327464
591368.571428571,555822.591354597,626914.551502546
538270.535714286,504047.373087248,572493.698341323
602541.785714286,564748.44104672,640335.130381851
535135.714285714,501707.856764777,568563.571806652
605224.285714286,566510.136235084,643938.435193488
553080.178571429,501539.772440795,604620.584702062
531129.821428571,496076.478213513,566183.16464363
522240.892857143,487904.267170951,556577.518543335
671260,633546.411644225,708973.588355775
581362.857142857,550800.049622949,611925.664662765
534522.5,498551.937999375,570493.062000625
528055.892857143,493490.702801267,562621.082913018
657113.214285714,617391.714876391,696834.713695038
588859.642857143,551130.489128676,626588.796585609
587404.285714286,543773.000453162,631035.570975409
670111.607142857,628978.311758397,711244.902527317
618966.607142857,577705.125021765,660228.08926395
512448.214285714,484099.317887541,540797.110683887
618216.25,575915.730735843,660516.769264157
533147.142857143,501264.843644444,565029.442069841
652548.75,614840.17786133,690257.32213867
525610.714285714,490852.239428708,560369.18914272
630359.107142857,591375.355010671,669342.859275043
575481.785714286,536431.287861981,614532.28356659
651889.821428571,614281.274603522,689498.368253621
529222.678571429,496459.913120794,561985.444022063
629873.035714286,591853.273477976,667892.797950595
529083.928571429,496974.059279286,561193.797863572
522027.678571429,492343.156349436,551712.200793422
680907.5,643284.083029777,718530.916970223
571294.821428571,534915.217863001,607674.424994142
661835.535714286,622576.601556182,701094.469872389
572190.357142857,538027.910428151,606352.803857564
580835.892857143,543899.977795812,617771.807918474
607855.178571429,573360.949140044,642349.408002813
674805,629107.578574781,720502.421425219
497510,463817.540378841,531202.459621159
572826.607142857,537308.226288074,608344.987997641
512621.428571429,481117.960090013,544124.897052844
525216.785714286,491639.94310065,558793.628327922
514441.25,480245.757416529,548636.742583471
