Iteration,Time (ns)
1,15381600
2,2614900
3,1425100
4,1268100
5,2033600
6,1216000
7,1234700
8,1541500
9,1995100
10,1403800
11,1234900
12,1684700
13,1408300
14,1280500
15,1294100
16,1369700
17,1398000
18,1257900
19,1568100
20,2738200
21,1507700
22,1637400
23,1674000
24,1620800
25,2182700
26,1674900
27,1619300
28,1916400
29,1357500
30,5370400
31,1009900
32,797900
33,649000
34,870500
35,1120800
36,1143300
37,867200
38,631300
39,759900
40,692000
41,671200
42,669800
43,678400
44,620600
45,784700
46,943700
47,862500
48,856300
49,847900
50,757500
51,543000
52,848700
53,797000
54,950900
55,789800
56,881300
57,566900
58,597100
59,867100
60,739400
61,659400
62,614600
63,634000
64,691800
65,919800
66,1162500
67,1253100
68,1225500
69,1302100
70,1244600
71,1197700
72,915800
73,1211000
74,1996100
75,1157800
76,987200
77,900600
78,1030000
79,1036800
80,1250500
81,1303000
82,1063900
83,929700
84,1162500
85,5520700
86,1111600
87,1144400
88,1009200
89,557100
90,569300
91,477900
92,540900
93,524100
94,525100
95,487300
96,391100
97,337400
98,291600
99,356800
100,342800
101,340200
102,318200
103,340200
104,288500
105,357500
106,293200
107,411100
108,440700
109,326300
110,300600
111,333300
112,336500
113,573400
114,641300
115,379500
116,323000
117,299200
118,299100
119,296800
120,298600
121,532600
122,606100
123,306000
124,309500
125,307700
126,292200
127,381100
128,448100
129,381000
130,397600
131,380500
132,369000
133,391800
134,379300
135,376600
136,389800
137,378800
138,380900
139,374000
140,372900
141,443000
142,383000
143,600500
144,777400
145,885300
146,946800
147,1371700
148,1175800
149,940300
150,916600
151,835500
152,883000
153,826800
154,762800
155,748800
156,763300
157,749500
158,716000
159,699900
160,644100
161,675600
162,663600
163,652700
164,657700
165,931500
166,841100
167,708100
168,646200
169,690700
170,702700
171,694600
172,684700
173,654000
174,679500
175,635900
176,625100
177,612000
178,621800
179,660200
180,699800
181,726100
182,751100
183,658000
184,643200
185,642600
186,650000
187,756200
188,1162900
189,751800
190,3147300
191,488900
192,327000
193,308200
194,299100
195,354700
196,298200
197,292400
198,316300
199,298300
200,292600
201,315300
202,293700
203,292000
204,315600
205,308800
206,290300
207,318000
208,294300
209,288400
210,294200
211,300100
212,296300
213,296300
214,297900
215,289500
216,335900
217,310700
218,282000
219,288600
220,317400
221,283400
222,286700
223,554000
224,504400
225,616500
226,369100
227,313200
228,319000
229,306000
230,336500
231,325300
232,307200
233,321900
234,292600
235,311400
236,293700
237,289800
238,291600
239,290700
240,316800
241,291100
242,327900
243,286300
244,289900
245,323400
246,302400
247,289900
248,329100
249,322200
250,571300
251,518500
252,318900
253,353000
254,301500
255,303000
256,292300
257,292300
258,308200
259,304200
260,289200
261,287400
262,289000
263,289200
264,293400
265,300500
266,297600
267,294900
268,571200
269,332500
270,340200
271,297400
272,298600
273,444200
274,365300
275,294200
276,308800
277,289800
