Iteration,Time (ns)
1,21838100
2,6163900
3,4907800
4,3415000
5,3495600
6,3292100
7,3244400
8,2960400
9,2974300
10,3193100
11,3538100
12,3999600
13,3809400
14,3546300
15,2769400
16,3452700
17,2515600
18,2869000
19,3602100
20,2883600
21,2536100
22,2266100
23,2283400
24,2061900
25,2446300
26,2738300
27,2719800
28,2743600
29,2523700
30,7927400
31,1622600
32,1651000
33,1439800
34,1503100
35,1396500
36,1473200
37,1526700
38,1668000
39,2876000
40,1544300
41,1445000
42,1580900
43,1422500
44,1446200
45,1710600
46,1551900
47,2200900
48,1905700
49,1501900
50,1616600
51,1521800
52,1448600
53,1472500
54,1456900
55,1606400
56,1866100
57,1493600
58,1348300
59,1369500
60,1487900
61,1494900
62,1599800
63,1411600
64,1989300
65,2886500
66,1547000
67,1415800
68,1332500
69,1469000
70,1329700
71,1396300
72,1400400
73,1628100
74,2096000
75,1607300
76,1574800
77,1491100
78,1347100
79,1374700
80,1302400
81,1275400
82,1234500
83,1280900
84,1678800
85,4357500
86,702300
87,626300
88,661000
89,660200
90,496400
91,383000
92,395100
93,365300
94,402600
95,364500
96,355000
97,370200
98,442900
99,380900
100,371800
101,390200
102,341800
103,361900
104,441400
105,354800
106,583500
107,612200
108,439900
109,689800
110,593900
111,668700
112,602900
113,575500
114,566500
115,551000
116,569300
117,693400
118,675400
119,636800
120,1115200
121,864000
122,503500
123,518700
124,519400
125,631100
126,631500
127,581000
128,619600
129,511700
130,669000
131,545900
132,434300
133,409100
134,372000
135,398700
136,740300
137,713700
138,620600
139,602000
140,709300
141,401100
142,648200
143,697400
144,664800
145,735400
146,727400
147,711900
148,662600
149,634000
150,673000
151,957900
152,938100
153,1178000
154,1115200
155,1014900
156,998200
157,1130700
158,1054300
159,1136900
160,1048900
161,997000
162,958300
163,938400
164,925500
165,1115000
166,975100
167,728100
168,749700
169,1132600
170,1102100
171,665300
172,635500
173,686900
174,789400
175,579800
176,623000
177,760900
178,697300
179,686400
180,897100
181,666100
182,629100
183,593000
184,624400
185,670900
186,665800
187,642300
188,647700
189,4339100
190,433400
191,413100
192,401300
193,376200
194,444700
195,388900
196,406000
197,375200
198,360500
199,369300
200,368500
201,343300
202,348800
203,345800
204,346700
205,354200
206,337300
207,349300
208,394900
209,402900
210,464300
211,436900
212,441500
213,440300
214,432400
215,441900
216,423000
217,452500
218,457100
219,412800
220,237000
221,231100
222,257900
223,240200
224,235400
225,361600
226,233300
227,228300
228,240400
229,252300
230,228500
231,233100
232,237800
233,243700
234,236800
235,234300
236,228800
237,230500
238,234000
239,223900
240,226800
241,226500
242,285600
243,298500
244,230200
245,233800
246,234900
247,235300
248,260600
249,559100
250,424700
251,257000
252,247100
253,241600
254,241800
255,237100
256,243200
257,235900
258,239200
259,249800
260,245000
261,245700
262,274800
263,250400
264,246300
265,270700
266,236100
267,228000
268,233500
269,237500
270,232300
271,234700
272,232000
273,228800
274,386300
275,305200
276,260500
277,366700
